game_date,game_day_number,day_game_total,Location,Stadium,Attendance,Duration,Home Plate Ump,First Base Ump,Third Base Ump,Weather
"Wednesday, June 29, 2022",5,6,"Missoula, MT",Ogren Allegiance,1575,3:06, Nick Jahnke , Micheal Chuckerman , Tony Prater,NA
"Wednesday, June 29, 2022",5,1,NA,NA,NA,NA,NA,NA,NA,Partly Cloudy 71 degrees
"Thursday, June 30, 2022",1,1,linquest,NA,4801,NA, Brandon Riley , Lyle Mangum , Tyler Wall,
"Thursday, June 30, 2022",2,1,"Grand Junction, CO",Suplizio Field,NA,NA,NA,NA,NA,NA
"Thursday, June 30, 2022",2,5,NA,NA,1254,3:19, Andrew Burris , Marty Rover , Andrew Torfin,84 Mostly Sunny
"Thursday, June 30, 2022",3,5,Colorado Springs. CO,UCHealth Park,925,3:13, Arturo Belmonte , Gary Czachowski , Jaden Guidry,Cloudy. 61 Degrees.
"Thursday, June 30, 2022",4,5,"Great Falls, Mt",Centene Stadium,1346,2:44, Kelly Atkinson , Brandon Snyder , Josh Garner,"75 Degrees, Partly Sunny"
"Thursday, June 30, 2022",5,5,"Missoula, MT",Ogren Allegiance,1778,4:09, Micheal Chuckerman , Tony Prater , Ray Bidwell,Clear 79 degrees
"Friday, July 01, 2022",1,5,Lindquist Field,NA,4205,NA, Jordan Smart , Ryan Hansen , William Minter,
"Friday, July 01, 2022",2,5,"Grand Junction, CO",Suplizio Field,1428,3:00, Marty Rover , Andrew Torfin , Lou Brown,81 Mostly Cloudy
"Friday, July 01, 2022",3,5,UC Health Park,NA,2316,2:31, Jaden Guidry , Bill Burger , Arturo Belmonte,58
"Friday, July 01, 2022",4,5,"Great Falls, MT",Centene Stadium,1259,2:55,NA,NA,NA,"82 degrees, partly cloudy, Wes"
"Friday, July 01, 2022",5,5,Missoula. MT,Ogren Allegiance,4619,3:25, Tony Prater , Nick Janke , Micheal Chuckerman,Partly Cloudy 86 degrees
"Saturday, July 02, 2022",1,5,"Grand Junction, CO",Suplizio Field,1711,3:30, William Minter , Jordan Smart , Lou Brown,NA
"Saturday, July 02, 2022",2,5,UC Health Park,NA,1216,3:12, Cameron Monaco , Doug Hodges , Kenny Adducci,62
"Saturday, July 02, 2022",3,5,"Great Falls, MT",Centene Stadium,1475,3:59,NA,NA,NA,"83 degrees, mostly sunny, west"
"Saturday, July 02, 2022",5,5,"Garden City, Idaho",Memorial Stadium,4447,3:25, Arturo Belmonte , Jaden Guidry , Nathan Elkins,92 Sunny
"Sunday, July 03, 2022",1,5,"Grand Junction, CO",Suplizio Field,1393,2:52, Lou Brown , Jordan Smart , William Minter,85 Mostly Cloudy
"Sunday, July 03, 2022",2,5,UC Health Park,NA,1608,2:47, Ryan Hansen , Kenny Adducci , Doug Hodges,78
"Sunday, July 03, 2022",3,5,"Idaho Falls, ID",Melaleuca Field,300,1:54, Mike Colson , Mike Chuckerman , Anthony Prater,NA
"Sunday, July 03, 2022",4,5,"Great Falls, MT",Centene Stadium,1085,2:34,NA,NA,NA,"64 degrees, cloudy, east"
"Sunday, July 03, 2022",5,5,"Idaho Falls, ID",Melaleuca Field,2843,2:43, Mike Chuckerman , Anthony Prater , Mike Colson,NA
"Sunday, July 03, 2022",6,5,"Garden City, Idaho",Memorial Stadium,4533,3:58, Jaden Guidry , Nathan Elkins , Arturo Belmonte,88 Sunny
"Monday, July 04, 2022",2,5,"Grand Junction, CO",Suplizio Field,4472,3:31,NA,NA,NA,NA
"Monday, July 04, 2022",2,6,NA,NA,NA,NA, Jordan Smart , Lyle Mangum , William Minter,NA
"Monday, July 04, 2022",3,6,"Idaho Falls, ID",NA,2122,3:55, Anthony Prater , Mike Colson , Mike Chuckerman,NA
"Monday, July 04, 2022",4,6,UC Health Park,NA,4690,2:38 PM, Ryan Hansen , Daniel Muth,NA,72
"Monday, July 04, 2022",5,6,"Boise, ID",Memorial Stadium,4779,3:22, Arturo Belmonte , Jaden Guidry , Joshua Garcia,79 Sunny
"Tuesday, July 05, 2022",1,6,"Idaho Falls, ID",Melaleuca Field,1414,3:02, Rick Dayley , Mike Chuckerman , Anthony Prater,Fair
"Tuesday, July 05, 2022",2,6,Flathead Field,NA,2004,3:12,NA,NA,NA,
"Wednesday, July 06, 2022",1,6,"Idaho Falls, ID",Melaleuca Field,1487,3:10, Mike Chuckerman , Tony Prater , Rick Dayley,Fair
"Wednesday, July 06, 2022",2,6,Greeley,NA,NA,NA,NA,NA,NA,NA
"Wednesday, July 06, 2022",2,5,NA,Jackson Field,30,2:55, Ryan Roark , Gary Czachowski , Sean Grogan,NA
"Wednesday, July 06, 2022",3,5,"Billings, Mont.",Dehler Park,2109,2:56, Kelly Atkinson , Larry Schmitt , Brandon Snyder,"79, partly cloudy"
"Wednesday, July 06, 2022",4,5,Flathead Field,NA,1933,3:10,NA,NA,NA,
"Wednesday, July 06, 2022",5,5,UC Health Park,NA,516,2:35, Rob Minter , Doug Hodges , Jordan Smart,64
"Thursday, July 07, 2022",1,5,"Idaho Falls, ID",Melaleuca Field,2455,NA,NA,NA,NA,NA
